x_coord,y_coord,pressure_bar,dist_to_ice_m,roll_deg,pitch_deg,timestamp_s
41.4,0.0,1.101,0.62,-0.26,-0.11,34.0
42.0,0.0,1.096,0.6,-0.82,-0.09,34.5
42.6,0.0,1.099,0.6,1.2,-0.31,35.0
43.2,0.0,1.098,0.6,0.63,-0.16,35.5
43.8,0.0,1.097,0.6,-0.15,0.12,36.0
44.4,0.0,1.099,0.61,-0.36,0.14,36.5
45.0,0.0,1.096,0.6,-0.77,0.17,37.0
45.6,0.0,1.096,0.59,0.5,-0.18,37.5
46.2,0.0,1.105,0.6,-0.95,0.04,38.0
46.8,0.0,1.102,0.62,0.07,-0.76,38.5
47.4,0.0,1.102,0.59,0.75,-0.71,39.0
48.0,0.0,1.099,0.6,-0.64,-0.59,39.5
48.6,0.0,1.102,0.6,0.64,0.06,40.0
49.2,0.0,1.097,0.59,-0.03,-0.61,40.5
49.8,0.0,1.105,0.61,0.19,-0.08,41.0
50.4,0.0,1.1,0.6,0.48,-0.71,41.5
51.0,0.0,1.096,0.6,0.64,-0.39,42.0
51.6,0.0,1.104,0.59,-0.16,-0.1,42.5
52.2,0.0,1.102,0.58,-0.37,-0.32,43.0
52.8,0.0,1.099,0.6,-0.04,-0.62,43.5
53.4,0.0,1.102,0.61,0.26,-0.44,44.0
54.0,0.0,1.098,0.58,0.86,0.32,44.5
54.6,0.0,1.103,0.58,-0.55,-0.34,45.0
55.2,0.0,1.104,0.58,0.7,0.33,45.5
55.8,0.0,1.102,0.61,-1.1,0.21,46.0
56.4,0.0,1.1,0.61,0.99,-0.14,46.5
57.0,0.0,1.104,0.6,-0.45,0.02,47.0
57.6,0.0,1.101,0.58,0.43,-0.47,47.5
58.2,0.0,1.102,0.58,0.97,0.55,48.0
58.8,0.0,1.104,0.62,-0.2,-0.42,48.5
59.4,0.0,1.102,0.59,0.47,-0.55,49.0
60.0,0.0,1.097,0.61,-0.5,-0.0,49.5
60.6,0.0,1.105,0.61,-1.07,-0.62,50.0
61.2,0.0,1.102,0.59,0.63,0.1,50.5
61.8,0.0,1.097,0.58,0.97,0.41,51.0
62.4,0.0,1.1,0.59,-0.06,0.79,51.5
63.0,0.0,1.096,0.59,0.79,-0.26,52.0
63.6,0.0,1.099,0.62,0.02,-0.76,52.5
64.2,0.0,1.103,0.61,0.2,0.79,53.0
64.8,0.0,1.103,0.59,0.14,-0.01,53.5
65.4,0.0,1.098,0.59,-0.61,0.05,54.0
66.0,0.0,1.1,0.61,0.64,-0.13,54.5
66.6,0.0,1.099,0.6,1.12,-0.47,55.0
67.2,0.0,1.096,0.61,-0.82,0.11,55.5
67.8,0.0,1.103,0.6,-0.64,-0.36,56.0
68.4,0.0,1.104,0.61,0.71,0.07,56.5
69.0,0.0,1.105,0.6,0.28,-0.74,57.0
69.6,0.0,1.102,0.58,0.74,0.4,57.5
70.2,0.0,1.099,0.58,-0.99,-0.43,58.0
70.8,0.0,1.097,0.61,1.02,0.53,58.5
71.4,0.0,1.098,0.62,0.68,0.37,59.0
72.0,0.0,1.105,0.61,0.07,0.17,59.5
72.6,0.0,1.095,0.61,-0.66,-0.61,60.0
73.2,0.0,1.101,0.58,0.22,-0.68,60.5
73.8,0.0,1.101,0.6,-0.81,0.12,61.0
74.4,0.0,1.104,0.6,-0.09,-0.73,61.5
75.0,0.0,1.104,0.61,-1.11,-0.16,62.0
75.6,0.0,1.098,0.6,0.77,0.38,62.5
76.2,0.0,1.096,0.59,0.2,0.71,63.0
76.8,0.0,1.097,0.61,0.05,0.2,63.5
77.4,0.0,1.104,0.59,-0.37,-0.37,64.0
78.0,0.0,1.098,0.58,-0.13,-0.12,64.5
78.6,0.0,1.102,0.59,-0.15,0.44,65.0
79.2,0.0,1.101,0.58,0.82,-0.08,65.5
79.8,0.0,1.097,0.58,0.39,0.3,66.0
80.4,0.0,1.104,0.6,-0.7,-0.5,66.5
81.0,0.0,1.097,0.59,0.53,-0.63,67.0
81.6,0.0,1.096,0.58,1.03,-0.23,67.5
82.2,0.0,1.105,0.59,-0.52,0.41,68.0
82.8,0.0,1.102,0.6,1.01,-0.06,68.5
83.4,0.0,1.102,0.59,1.17,0.44,69.0
84.0,0.0,1.104,0.59,1.18,-0.18,69.5
84.6,0.0,1.104,0.58,1.14,0.18,70.0
85.2,0.0,1.103,0.59,0.66,0.48,70.5
85.8,0.0,1.098,0.61,-0.72,0.63,71.0
86.4,0.0,1.104,0.6,-0.12,0.54,71.5
87.0,0.0,1.096,0.61,0.49,0.52,72.0
87.6,0.0,1.098,0.58,-0.95,0.3,72.5
88.2,0.0,1.105,0.6,-0.24,0.59,73.0
88.8,0.0,1.097,0.58,1.04,-0.7,73.5
89.4,0.0,1.095,0.61,0.27,-0.18,74.0
90.0,0.0,1.102,0.59,-0.51,0.02,74.5
90.6,0.0,1.103,0.59,0.84,0.03,75.0
91.2,0.0,1.099,0.59,0.74,0.09,75.5
91.8,0.0,1.104,0.6,0.2,0.11,76.0
92.4,0.0,1.102,0.62,0.5,-0.72,76.5
93.0,0.0,1.102,0.62,-0.78,-0.32,77.0
93.6,0.0,1.1,0.61,-1.04,-0.41,77.5
94.2,0.0,1.096,0.6,-0.5,-0.05,78.0
94.8,0.0,1.101,0.58,-1.13,0.21,78.5
95.4,0.0,1.1,0.62,0.06,0.75,79.0
96.0,0.0,1.102,0.59,-0.35,-0.43,79.5
96.6,0.0,1.104,0.59,-1.14,0.57,80.0
97.2,0.0,1.105,0.6,0.6,0.62,80.5
97.8,0.0,1.1,0.61,-0.46,0.73,81.0
98.4,0.0,1.103,0.62,0.03,0.24,81.5
99.0,0.0,1.098,0.62,0.04,0.33,82.0
99.6,0.0,1.105,0.62,0.41,-0.61,82.5
100,5.0,1.104,0.59,-0.32,0.25,83.0
99.4,5.0,1.099,0.59,-1.07,0.2,83.5
98.8,5.0,1.099,0.6,0.06,0.74,84.0
98.2,5.0,1.104,0.6,-0.31,-0.6,84.5
97.6,5.0,1.098,0.59,-0.13,0.75,85.0
97.0,5.0,1.096,0.6,0.79,-0.29,85.5
96.4,5.0,1.103,0.62,0.75,0.72,86.0
95.8,5.0,1.1,0.61,0.1,0.64,86.5
95.2,5.0,1.097,0.61,-1.15,-0.19,87.0
94.6,5.0,1.1,0.62,-1.16,-0.21,87.5
94.0,5.0,1.102,0.62,-0.87,-0.51,88.0
93.4,5.0,1.105,0.61,-0.61,-0.11,88.5
92.8,5.0,1.101,0.6,-0.4,-0.35,89.0
92.2,5.0,1.102,0.62,-0.68,0.7,89.5
91.6,5.0,1.097,0.59,-0.73,-0.53,90.0
91.0,5.0,1.097,0.6,0.98,-0.7,90.5
90.4,5.0,1.102,0.6,-0.63,-0.41,91.0
89.8,5.0,1.1,0.6,1.05,-0.71,91.5
89.2,5.0,1.101,0.59,-0.78,0.8,92.0
88.6,5.0,1.095,0.61,-1.03,-0.38,92.5
88.0,5.0,1.104,0.62,0.51,-0.01,93.0
87.4,5.0,1.096,0.61,-0.44,0.27,93.5
86.8,5.0,1.101,0.61,-0.22,-0.59,94.0
86.2,5.0,1.102,0.6,0.87,-0.14,94.5
85.6,5.0,1.103,0.59,0.74,-0.79,95.0
85.0,5.0,1.099,0.58,0.44,0.15,95.5
84.4,5.0,1.101,0.61,-0.07,-0.1,96.0
83.8,5.0,1.1,0.61,-0.21,-0.25,96.5
83.2,5.0,1.1,0.59,0.3,0.41,97.0
82.6,5.0,1.102,0.6,1.15,0.01,97.5
82.0,5.0,1.096,0.62,-1.04,0.16,98.0
81.4,5.0,1.096,0.61,-0.95,-0.09,98.5
80.8,5.0,1.098,0.62,-0.63,-0.42,99.0
80.2,5.0,1.104,0.6,0.0,0.23,99.5
79.6,5.0,1.098,0.59,-0.54,0.6,100.0
79.0,5.0,1.102,0.61,0.91,0.7,100.5
78.4,5.0,1.105,0.58,-0.66,-0.47,101.0
77.8,5.0,1.104,0.6,-1.06,0.5,101.5
77.2,5.0,1.104,0.59,0.14,-0.17,102.0
76.6,5.0,1.1,0.62,0.57,-0.03,102.5
76.0,5.0,1.103,0.59,-0.36,-0.23,103.0
75.4,5.0,1.098,0.6,0.77,-0.23,103.5
74.8,5.0,1.099,0.61,-0.59,0.55,104.0
74.2,5.0,1.099,0.58,-1.08,0.37,104.5
73.6,5.0,1.1,0.6,-1.0,-0.3,105.0
73.0,5.0,1.1,0.58,-0.76,-0.02,105.5
72.4,5.0,1.095,0.6,-0.53,-0.19,106.0
71.8,5.0,1.1,0.59,-0.51,0.35,106.5
71.2,5.0,1.103,0.61,0.44,0.8,107.0
70.6,5.0,1.099,0.59,-0.0,-0.36,107.5
70.0,5.0,1.105,0.59,-0.17,-0.62,108.0
69.4,5.0,1.102,0.62,-0.33,0.21,108.5
68.8,5.0,1.099,0.61,1.07,0.15,109.0
68.2,5.0,1.098,0.58,0.48,-0.56,109.5
67.6,5.0,1.096,0.59,-0.98,-0.29,110.0
67.0,5.0,1.098,0.62,-0.31,0.63,110.5
66.4,5.0,1.1,0.59,0.65,0.61,111.0
65.8,5.0,1.102,0.6,-0.7,-0.41,111.5
65.2,5.0,1.101,0.59,-1.01,0.64,112.0
64.6,5.0,1.096,0.62,0.1,-0.27,112.5
64.0,5.0,1.098,0.58,-0.2,-0.47,113.0
63.4,5.0,1.099,0.61,-0.78,-0.34,113.5
62.8,5.0,1.104,0.6,-0.44,0.06,114.0
62.2,5.0,1.102,0.58,0.83,-0.42,114.5
61.6,5.0,1.097,0.59,0.2,0.03,115.0
61.0,5.0,1.1,0.58,-0.15,0.36,115.5
60.4,5.0,1.096,0.6,0.88,-0.68,116.0
59.8,5.0,1.101,0.61,1.04,0.07,116.5
59.2,5.0,1.1,0.6,0.97,-0.75,117.0
58.6,5.0,1.103,0.6,0.56,0.49,117.5
58.0,5.0,1.098,0.59,-0.43,0.62,118.0
57.4,5.0,1.1,0.6,-0.82,-0.64,118.5
56.8,5.0,1.096,0.62,-0.32,-0.34,119.0
56.2,5.0,1.097,0.59,0.29,0.72,119.5
55.6,5.0,1.096,0.6,0.53,0.45,120.0
55.0,5.0,1.102,0.6,-0.9,0.63,120.5
54.4,5.0,1.1,0.62,0.02,0.08,121.0
53.8,5.0,1.104,0.58,-0.46,-0.29,121.5
53.2,5.0,1.101,0.61,0.82,-0.69,122.0
52.6,5.0,1.099,0.59,-1.18,-0.5,122.5
52.0,5.0,1.103,0.6,0.12,0.67,123.0
51.4,5.0,1.105,0.59,-0.34,0.73,123.5
50.8,5.0,1.099,0.61,0.29,0.72,124.0
50.2,5.0,1.104,0.59,-0.55,-0.8,124.5
49.6,5.0,1.104,0.59,-0.58,-0.45,125.0
49.0,5.0,1.102,0.6,-0.81,-0.24,125.5
48.4,5.0,1.102,0.58,-1.17,-0.33,126.0
47.8,5.0,1.102,0.6,0.08,-0.16,126.5
47.2,5.0,1.099,0.62,0.42,0.28,127.0
46.6,5.0,1.099,0.61,0.31,-0.17,127.5
46.0,5.0,1.104,0.6,-0.16,-0.71,128.0
45.4,5.0,1.098,0.58,0.75,0.25,128.5
44.8,5.0,1.098,0.6,1.08,-0.23,129.0
44.2,5.0,1.097,0.59,-1.19,-0.29,129.5
43.6,5.0,1.103,0.61,-0.66,0.49,130.0
43.0,5.0,1.1,0.59,-0.14,0.77,130.5
42.4,5.0,1.102,0.59,0.3,-0.31,131.0
41.8,5.0,1.1,0.59,0.55,-0.22,131.5
41.2,5.0,1.097,0.58,0.39,-0.04,132.0
40.6,5.0,1.096,0.59,0.32,-0.13,132.5
40.0,5.0,1.103,0.59,0.24,0.32,133.0
39.4,5.0,1.099,0.61,0.42,0.38,133.5
38.8,5.0,1.096,0.62,0.87,0.03,134.0
38.2,5.0,1.102,0.59,-1.06,0.67,134.5
37.6,5.0,1.105,0.6,-0.31,0.28,135.0
37.0,5.0,1.1,0.59,0.25,-0.45,135.5
36.4,5.0,1.102,0.61,1.0,-0.63,136.0
35.8,5.0,1.099,0.59,-0.57,-0.28,136.5
35.2,5.0,1.102,0.58,-0.04,-0.55,137.0
34.6,5.0,1.103,0.6,-0.14,0.51,137.5
34.0,5.0,1.1,0.6,0.6,-0.05,138.0
33.4,5.0,1.096,0.6,-0.22,0.15,138.5
32.8,5.0,1.095,0.61,-0.36,-0.02,139.0
32.2,5.0,1.099,0.59,0.67,0.11,139.5
31.6,5.0,1.098,0.58,0.64,0.01,140.0
31.0,5.0,1.103,0.61,0.54,-0.06,140.5
30.4,5.0,1.095,0.58,-1.13,-0.16,141.0
29.8,5.0,1.097,0.58,0.85,0.69,141.5
29.2,5.0,1.1,0.6,-0.38,-0.09,142.0
28.6,5.0,1.099,0.61,-0.91,0.28,142.5
28.0,5.0,1.102,0.6,-0.66,0.52,143.0
27.4,5.0,1.1,0.61,0.53,0.75,143.5
26.8,5.0,1.1,0.6,0.89,-0.23,144.0
26.2,5.0,1.103,0.59,-0.6,-0.54,144.5
25.6,5.0,1.101,0.6,-1.12,0.64,145.0
25.0,5.0,1.104,0.6,-0.28,-0.39,145.5
24.4,5.0,1.104,0.61,0.18,0.51,146.0
23.8,5.0,1.102,0.59,-0.68,-0.12,146.5
23.2,5.0,1.1,0.58,-0.89,0.61,147.0
22.6,5.0,1.101,0.61,-1.2,-0.78,147.5
22.0,5.0,1.099,0.61,1.08,-0.32,148.0
21.4,5.0,1.104,0.6,-0.73,0.01,148.5
20.8,5.0,1.103,0.58,0.92,-0.28,149.0
20.2,5.0,1.104,0.59,0.55,-0.09,149.5
19.6,5.0,1.099,0.6,1.02,0.23,150.0
19.0,5.0,1.104,0.62,0.62,-0.51,150.5
18.4,5.0,1.104,0.59,1.16,-0.53,151.0
17.8,5.0,1.103,0.61,-0.82,-0.55,151.5
17.2,5.0,1.102,0.61,-0.68,-0.07,152.0
16.6,5.0,1.096,0.59,1.16,0.25,152.5
16.0,5.0,1.102,0.62,0.16,0.49,153.0
15.4,5.0,1.095,0.59,0.91,0.21,153.5
14.8,5.0,1.101,0.58,0.21,-0.11,154.0
14.2,5.0,1.097,0.61,1.04,-0.64,154.5
13.6,5.0,1.096,0.61,0.96,-0.0,155.0
13.0,5.0,1.104,0.61,-0.47,0.63,155.5
12.4,5.0,1.099,0.6,-0.06,0.16,156.0
11.8,5.0,1.097,0.61,0.8,0.37,156.5
11.2,5.0,1.099,0.59,-0.55,0.02,157.0
10.6,5.0,1.103,0.62,-0.43,-0.17,157.5
10.0,5.0,1.102,0.6,1.08,-0.35,158.0
9.4,5.0,1.104,0.6,0.59,-0.8,158.5
8.8,5.0,1.105,0.59,0.07,0.12,159.0
8.2,5.0,1.103,0.61,0.33,-0.76,159.5
7.6,5.0,1.104,0.61,-0.04,-0.39,160.0
7.0,5.0,1.102,0.59,1.08,0.51,160.5
6.4,5.0,1.098,0.59,-0.11,0.62,161.0
5.8,5.0,1.1,0.61,-0.33,-0.16,161.5
5.2,5.0,1.095,0.59,-1.03,0.35,162.0
4.6,5.0,1.097,0.59,-0.99,-0.01,162.5
4.0,5.0,1.102,0.6,-0.85,-0.12,163.0
3.4,5.0,1.104,0.58,0.77,0.34,163.5
2.8,5.0,1.102,0.6,0.29,-0.51,164.0
2.2,5.0,1.096,0.59,-0.28,0.38,164.5
1.6,5.0,1.098,0.6,1.11,0.68,165.0
1.0,5.0,1.105,0.61,-0.44,-0.6,165.5
0.4,5.0,1.1,0.62,0.65,-0.46,166.0
0,10.0,1.102,0.61,0.92,-0.33,166.5
0.6,10.0,1.102,0.59,-0.51,0.56,167.0
1.2,10.0,1.101,0.59,0.51,0.01,167.5
1.8,10.0,1.102,0.62,-0.67,0.5,168.0
2.4,10.0,1.1,0.61,0.85,0.2,168.5
3.0,10.0,1.098,0.58,1.01,0.69,169.0
3.6,10.0,1.099,0.59,0.26,-0.79,169.5
4.2,10.0,1.102,0.6,-0.46,-0.41,170.0
4.8,10.0,1.101,0.62,-0.82,0.68,170.5
5.4,10.0,1.096,0.6,0.03,0.47,171.0
6.0,10.0,1.096,0.61,0.78,0.04,171.5
6.6,10.0,1.104,0.61,-0.88,0.67,172.0
7.2,10.0,1.103,0.61,-0.7,-0.16,172.5
7.8,10.0,1.1,0.6,0.34,0.75,173.0
8.4,10.0,1.098,0.58,0.3,-0.55,173.5
9.0,10.0,1.1,0.59,-0.29,0.13,174.0
9.6,10.0,1.103,0.6,0.41,-0.46,174.5
10.2,10.0,1.103,0.59,-1.13,-0.51,175.0
10.8,10.0,1.104,0.59,-0.85,0.58,175.5
11.4,10.0,1.101,0.59,-0.23,-0.13,176.0
12.0,10.0,1.1,0.59,1.1,-0.54,176.5
12.6,10.0,1.099,0.59,-0.34,-0.04,177.0
13.2,10.0,1.097,0.58,0.51,0.65,177.5
13.8,10.0,1.102,0.59,-0.05,-0.75,178.0
14.4,10.0,1.096,0.62,0.46,0.38,178.5
15.0,10.0,1.104,0.6,-0.6,0.47,179.0
15.6,10.0,1.102,0.58,-0.17,0.08,179.5
16.2,10.0,1.099,0.58,0.46,-0.47,180.0
16.8,10.0,1.1,0.61,-0.79,0.11,180.5
17.4,10.0,1.097,0.6,1.19,-0.44,181.0
18.0,10.0,1.099,0.59,0.13,0.66,181.5
18.6,10.0,1.1,0.61,0.48,0.38,182.0
19.2,10.0,1.102,0.61,0.68,-0.22,182.5
19.8,10.0,1.105,0.61,-0.49,0.01,183.0
20.4,10.0,1.1,0.58,0.0,-0.45,183.5
21.0,10.0,1.1,0.61,0.29,-0.37,184.0
21.6,10.0,1.099,0.62,0.94,0.75,184.5
22.2,10.0,1.1,0.61,-0.13,-0.41,185.0
22.8,10.0,1.1,0.59,0.22,-0.32,185.5
23.4,10.0,1.099,0.58,-0.44,-0.54,186.0
24.0,10.0,1.098,0.62,0.67,0.47,186.5
24.6,10.0,1.098,0.6,-0.53,0.1,187.0
25.2,10.0,1.098,0.58,-0.31,0.77,187.5
25.8,10.0,1.105,0.61,0.23,0.07,188.0
26.4,10.0,1.101,0.62,-0.29,-0.61,188.5
27.0,10.0,1.098,0.6,-0.63,-0.06,189.0
27.6,10.0,1.105,0.6,0.07,-0.63,189.5
28.2,10.0,1.104,0.61,0.16,-0.63,190.0
28.8,10.0,1.099,0.61,-0.14,-0.62,190.5
29.4,10.0,1.104,0.58,-0.73,0.09,191.0
30.0,10.0,1.102,0.59,0.86,-0.24,191.5
30.6,10.0,1.103,0.59,0.49,0.21,192.0
31.2,10.0,1.096,0.6,-0.91,-0.78,192.5
31.8,10.0,1.096,0.6,0.2,-0.12,193.0
32.4,10.0,1.095,0.61,-0.94,0.39,193.5
33.0,10.0,1.101,0.62,-0.48,-0.76,194.0
33.6,10.0,1.097,0.62,0.59,-0.41,194.5
34.2,10.0,1.102,0.61,1.09,-0.05,195.0
34.8,10.0,1.102,0.6,-0.38,-0.32,195.5
35.4,10.0,1.101,0.61,-0.14,0.22,196.0
36.0,10.0,1.101,0.6,0.36,-0.38,196.5
36.6,10.0,1.103,0.61,-1.09,-0.39,197.0
37.2,10.0,1.098,0.6,0.41,0.69,197.5
37.8,10.0,1.103,0.62,1.07,0.24,198.0
38.4,10.0,1.097,0.61,0.94,-0.26,198.5
39.0,10.0,1.098,0.6,0.72,-0.68,199.0
39.6,10.0,1.098,0.62,-0.55,-0.75,199.5
40.2,10.0,1.098,0.6,0.78,0.47,200.0
40.8,10.0,1.098,0.61,0.49,-0.76,200.5
41.4,10.0,1.103,0.61,-0.83,-0.43,201.0
42.0,10.0,1.099,0.6,0.58,0.03,201.5
42.6,10.0,1.096,0.58,-0.39,-0.31,202.0
43.2,10.0,1.095,0.6,0.37,-0.62,202.5
43.8,10.0,1.099,0.62,-0.13,0.53,203.0
44.4,10.0,1.104,0.61,-0.49,0.67,203.5
45.0,10.0,1.096,0.59,0.52,0.29,204.0
45.6,10.0,1.098,0.6,-0.55,-0.35,204.5
46.2,10.0,1.098,0.6,0.55,-0.36,205.0
46.8,10.0,1.102,0.58,-1.15,-0.72,205.5
47.4,10.0,1.1,0.59,-0.19,0.33,206.0
48.0,10.0,1.103,0.61,0.72,0.06,206.5
48.6,10.0,1.103,0.58,-1.02,-0.11,207.0
49.2,10.0,1.098,0.58,-0.86,-0.65,207.5
49.8,10.0,1.102,0.6,0.73,-0.57,208.0
50.4,10.0,1.098,0.62,-1.18,0.26,208.5
51.0,10.0,1.098,0.61,1.07,0.62,209.0
51.6,10.0,1.097,0.58,-1.11,0.62,209.5
52.2,10.0,1.096,0.6,0.86,-0.3,210.0
52.8,10.0,1.101,0.58,0.43,-0.43,210.5
53.4,10.0,1.096,0.61,-0.79,0.42,211.0
54.0,10.0,1.098,0.62,0.71,-0.12,211.5
54.6,10.0,1.096,0.6,-0.72,0.31,212.0
55.2,10.0,1.097,0.6,-1.13,0.57,212.5
55.8,10.0,1.096,0.58,1.05,-0.01,213.0
56.4,10.0,1.099,0.59,0.65,0.66,213.5
57.0,10.0,1.096,0.62,1.15,0.07,214.0
57.6,10.0,1.103,0.59,-0.21,-0.28,214.5
58.2,10.0,1.104,0.61,-0.04,0.54,215.0
58.8,10.0,1.102,0.58,-0.92,-0.27,215.5
59.4,10.0,1.101,0.6,-0.22,0.65,216.0
60.0,10.0,1.099,0.62,0.19,0.17,216.5
60.6,10.0,1.096,0.62,0.36,0.32,217.0
61.2,10.0,1.098,0.59,0.27,0.49,217.5
61.8,10.0,1.097,0.61,-1.13,-0.78,218.0
62.4,10.0,1.097,0.6,-0.24,-0.54,218.5
63.0,10.0,1.095,0.61,0.49,-0.54,219.0
63.6,10.0,1.097,0.6,-0.73,0.33,219.5
64.2,10.0,1.102,0.58,-0.98,-0.23,220.0
64.8,10.0,1.097,0.58,-0.76,0.27,220.5
65.4,10.0,1.105,0.62,-0.93,0.38,221.0
66.0,10.0,1.102,0.58,0.66,0.6,221.5
66.6,10.0,1.102,0.59,-0.88,-0.43,222.0
67.2,10.0,1.096,0.62,0.68,-0.48,222.5
67.8,10.0,1.102,0.6,-1.12,0.33,223.0
68.4,10.0,1.097,0.59,0.97,0.16,223.5
69.0,10.0,1.095,0.6,1.05,0.73,224.0
69.6,10.0,1.098,0.61,0.39,0.47,224.5
70.2,10.0,1.096,0.59,0.49,0.39,225.0
70.8,10.0,1.102,0.62,0.23,0.8,225.5
71.4,10.0,1.098,0.58,-0.05,-0.19,226.0
72.0,10.0,1.097,0.61,-0.94,0.39,226.5
72.6,10.0,1.098,0.61,0.08,-0.61,227.0
73.2,10.0,1.099,0.6,-0.77,0.33,227.5
73.8,10.0,1.103,0.61,0.77,0.58,228.0
74.4,10.0,1.098,0.6,-0.82,-0.16,228.5
75.0,10.0,1.097,0.61,0.09,-0.6,229.0
75.6,10.0,1.103,0.61,-0.18,0.03,229.5
76.2,10.0,1.096,0.61,0.48,-0.28,230.0
76.8,10.0,1.1,0.59,-0.9,0.7,230.5
77.4,10.0,1.097,0.61,0.31,-0.15,231.0
78.0,10.0,1.1,0.59,0.36,0.78,231.5
78.6,10.0,1.098,0.59,0.57,-0.75,232.0
79.2,10.0,1.097,0.59,-0.98,0.7,232.5
79.8,10.0,1.096,0.59,-0.8,0.24,233.0
80.4,10.0,1.095,0.61,1.0,-0.68,233.5
81.0,10.0,1.097,0.59,0.75,0.67,234.0
81.6,10.0,1.097,0.6,-0.73,-0.68,234.5
82.2,10.0,1.099,0.61,0.78,0.36,235.0
82.8,10.0,1.102,0.58,0.93,0.54,235.5
83.4,10.0,1.105,0.61,1.08,0.78,236.0
84.0,10.0,1.096,0.6,-0.22,0.02,236.5
84.6,10.0,1.104,0.58,0.92,-0.21,237.0
85.2,10.0,1.105,0.59,0.49,-0.05,237.5
85.8,10.0,1.1,0.58,-0.63,0.75,238.0
86.4,10.0,1.104,0.6,1.18,-0.3,238.5
87.0,10.0,1.097,0.58,-0.43,-0.47,239.0
